bed_base,outcome,model,threshold,occ_col,cap_col,y_col,nobs,dropped_regressors,coef_above_thr,se_above_thr,p_above_thr,coef_above_x_cap_z,se_above_x_cap_z,p_above_x_cap_z,coef_above_x_nearest_trust_km_z,se_above_x_nearest_trust_km_z,p_above_x_nearest_trust_km_z,coef_above_x_trusts_within_10km_z,se_above_x_trusts_within_10km_z,p_above_x_trusts_within_10km_z,coef_above_x_trusts_within_25km_z,se_above_x_trusts_within_25km_z,p_above_x_trusts_within_25km_z
all,ae_12h_per_1k_att,threshold_interactions,0.8,kh03_occ_all_rate,kh03_avail_all_avg_beds,ae_12h_per_1k_att,3551,,-3.32544220943383,1.1572162236682837,0.004082820848170243,1.842313903176315,11.928286295834688,0.8772648116559945,1.748102848008946,0.7396798217744978,0.018168151631774432,-4.200082099183163,1.1625084657178677,0.0003071444317384042,4.278379410506498,1.288674407821708,0.0009097765209329367
all,ae_12h_per_1k_att,threshold_interactions,0.82,kh03_occ_all_rate,kh03_avail_all_avg_beds,ae_12h_per_1k_att,3551,,-2.605550424132959,1.0945636271244386,0.017346793243634417,19.637904773225674,11.598918205923004,0.09053228172580541,2.6931435496314537,0.7338951249983213,0.0002466265370166809,-5.240394657865237,1.1529224997544487,5.677586457419892e-06,5.513011938881957,1.252692068562974,1.111202705295078e-05
all,ae_12h_per_1k_att,threshold_interactions,0.85,kh03_occ_all_rate,kh03_avail_all_avg_beds,ae_12h_per_1k_att,3551,,-1.7883643552062425,0.952153063847874,0.06043547598452492,17.33420942973604,11.055231376916144,0.1169830715822262,2.330345342314766,0.6653889980201535,0.00046735830968147596,-5.484506263620655,1.1873396503414009,3.996827786956203e-06,6.17213152141989,1.202549302282085,3.019927201641792e-07
all,ae_12h_per_1k_att,threshold_interactions,0.88,kh03_occ_all_rate,kh03_avail_all_avg_beds,ae_12h_per_1k_att,3551,,1.4420383417507616,0.9112537727533112,0.11363425460821919,21.473409303638057,11.71073215654118,0.0667935529131134,1.8466752196786358,0.7512381836574312,0.014014335967570846,-6.547906679615825,1.287295555667024,3.8447447692213643e-07,7.095838944250724,1.2634816667271096,2.1110444725636057e-08
all,ae_12h_per_1k_att,threshold_interactions,0.9,kh03_occ_all_rate,kh03_avail_all_avg_beds,ae_12h_per_1k_att,3551,,0.4480461046161416,0.9898944971134175,0.6508514105193415,22.616542873850427,14.247245481554407,0.11250824927165093,2.0903490340331494,0.9288869270450946,0.024488863664213323,-5.616826796815192,1.3263396548719004,2.3481872873043486e-05,5.783222636526746,1.2698014346873658,5.438293915194237e-06
all,ae_12h_per_1k_att,threshold_interactions,0.92,kh03_occ_all_rate,kh03_avail_all_avg_beds,ae_12h_per_1k_att,3551,,1.9081956887530447,1.0808020228102657,0.077563901030681,40.02145427588784,16.039101588674395,0.012634454106966508,2.5043129832943216,1.051399753384798,0.017279323961286952,-5.726089942196292,1.3333022991531576,1.7987817535480843e-05,6.026968988422663,1.338589422021137,6.943473914500231e-06
all,ae_4hr_pct,threshold_interactions,0.8,kh03_occ_all_rate,kh03_avail_all_avg_beds,ae_type1_pct_4hr,3551,,-0.009938822901381173,0.010569893581744993,0.3471332424832525,-0.08542120642578974,0.11714022668302443,0.4659165423431715,0.005580776435621543,0.007541307381295011,0.4593345925293928,0.06394624448082852,0.010588514007776662,1.7167804955420252e-09,-0.037188786079987456,0.009786846383221191,0.0001473203215451857
all,ae_4hr_pct,threshold_interactions,0.82,kh03_occ_all_rate,kh03_avail_all_avg_beds,ae_type1_pct_4hr,3551,,-0.004106984097344777,0.009848157575920181,0.6766824407411214,-0.05560042539606428,0.11749904536832896,0.6361018102386979,0.005793591671691157,0.007301211099254459,0.4275358518000303,0.0803742950275158,0.011679954951875801,7.034595128629917e-12,-0.04384880396841273,0.009808011874625005,8.05215343846477e-06
all,ae_4hr_pct,threshold_interactions,0.85,kh03_occ_all_rate,kh03_avail_all_avg_beds,ae_type1_pct_4hr,3551,,0.016519067720281784,0.00872917483623885,0.05852345551322213,0.07790819080057061,0.11597917156658577,0.5017932761523802,0.0056864400021743025,0.005763217818863909,0.3238711827139671,0.08563527072376294,0.012476483916420453,7.94786458868657e-12,-0.041705293563020926,0.009123795439434514,5.026797784690729e-06
all,ae_4hr_pct,threshold_interactions,0.88,kh03_occ_all_rate,kh03_avail_all_avg_beds,ae_type1_pct_4hr,3551,,0.002439554174013354,0.008499549193962484,0.7741133832001903,-0.006105611923846693,0.1178012596089706,0.9586673998362365,0.0013728003994911454,0.0054431048344268365,0.8008948083249905,0.07567623889279747,0.016669888019686222,5.830003531492878e-06,-0.03619454247317253,0.008915229489443545,5.021637044344551e-05
