bed_base,occ_col,cap_col,outcome,y_col,nobs,coef_occ,se_occ,p_occ,coef_cap_z,se_cap_z,p_cap_z,coef_occ_x_cap,se_occ_x_cap,p_occ_x_cap,threshold,coef_above_85,se_above_85,p_above_85,coef_above85_x_cap,se_above85_x_cap,p_above85_x_cap
all,kh03_occ_all_rate,kh03_avail_all_avg_beds,ae_type1_pct_4hr,ae_type1_pct_4hr,3551,-0.026258828989496778,0.1301214502450791,0.8400832974464114,-0.9904665720766425,0.8584184473564797,0.24865256654302548,0.69854156580007,0.9354816744360245,0.4552853607882317,,,,,,,
all,kh03_occ_all_rate,kh03_avail_all_avg_beds,ae_waits_12hr_dta,ae_waits_12hr_decision_to_admit,4151,1506.7301890425242,687.7174220491344,0.028516107014517678,-5280.618981454041,3947.03475179279,0.18101575136383197,14930.166648870676,5787.768379898883,0.009927049501559093,,,,,,,
all,kh03_occ_all_rate,kh03_avail_all_avg_beds,canc_cancelled_ops,canc_cancelled_ops,2852,523.2917773144957,130.75594969911083,6.450329201435068e-05,430.746284378003,765.2491831722372,0.5735612935777206,3921.428213616752,1027.938678778122,0.00013935338852699708,,,,,,,
all,kh03_occ_all_rate,kh03_avail_all_avg_beds,canc_breaches_28d,canc_breaches_28d,2852,103.89660153099581,52.966413100221224,0.04991781213209734,49.225531311563365,247.24387948510378,0.8422019578621485,735.3903554572062,400.9994068252133,0.06678086557933405,,,,,,,
all,kh03_occ_all_rate,kh03_avail_all_avg_beds,canc_pct_not_treated_28d,canc_pct_not_treated_28_days,2852,0.035767505207149726,0.12231930031783439,0.7699951163803671,1.5273030362836035,0.513350613693006,0.00295453620576569,-1.3298526825393433,0.877748549152879,0.12987228231324632,,,,,,,
all,kh03_occ_all_rate,kh03_avail_all_avg_beds,uec_nctr_mean,uec_uec_nctr_mean,1434,195.0395881040094,67.56946208354918,0.0039599059598069974,-371.0293134020288,190.01041466823335,0.0510721820963802,2361.6563551229488,554.9361529931142,2.233323880318494e-05,,,,,,,
all,kh03_occ_all_rate,kh03_avail_all_avg_beds,uec_nctr_max,uec_uec_nctr_max,1434,175.92715072622653,91.5340771607576,0.054826141977927456,-601.5327888940908,403.7840450702718,0.13653565781097776,2845.418597168383,744.3257450872111,0.00013818533161713553,,,,,,,
all,kh03_occ_all_rate,kh03_avail_all_avg_beds,ae_type1_pct_4hr,ae_type1_pct_4hr,3551,,,,-0.636029885215417,0.4043885586104654,0.1158543726120389,,,,0.85,0.027324636242374706,0.020087786338020462,0.1738379669141017,0.38541336974880963,0.24249183036912444,0.11206653890710783
all,kh03_occ_all_rate,kh03_avail_all_avg_beds,ae_waits_12hr_dta,ae_waits_12hr_decision_to_admit,4195,,,,4587.218470790139,2799.798038725455,0.10141478049688346,,,,0.85,137.7930734510984,89.0198081759551,0.1217273836163344,2757.2168867207274,965.1611747134571,0.004302223738089417
all,kh03_occ_all_rate,kh03_avail_all_avg_beds,canc_cancelled_ops,canc_cancelled_ops,2857,,,,3017.110782792501,811.2306082883417,0.0002039764882002526,,,,0.85,42.624674008933525,22.755293956093013,0.06115295224051498,537.490767186104,300.61361578890495,0.07389249897608696
all,kh03_occ_all_rate,kh03_avail_all_avg_beds,canc_breaches_28d,canc_breaches_28d,2857,,,,562.6307215993642,198.37109754484234,0.004598923702910929,,,,0.85,-0.7440841660963713,10.7376042150439,0.9447583591328219,40.774471001661595,127.59317227016732,0.7493221017200482
all,kh03_occ_all_rate,kh03_avail_all_avg_beds,canc_pct_not_treated_28d,canc_pct_not_treated_28_days,2857,,,,0.8008649232232331,0.5241477350741129,0.1266462241238031,,,,0.85,-0.028435787541731334,0.029660801866018268,0.33779686770960815,-0.5533312403649752,0.3854596431129726,0.1512585985552901
all,kh03_occ_all_rate,kh03_avail_all_avg_beds,uec_nctr_mean,uec_uec_nctr_mean,1434,,,,655.5131768317452,417.4890495593468,0.11662779524842382,,,,0.85,23.577402911878437,7.219448120128743,0.0011199607943956913,327.6923441754004,98.92830247992721,0.0009503603056042476
all,kh03_occ_all_rate,kh03_avail_all_avg_beds,uec_nctr_max,uec_uec_nctr_max,1434,,,,818.8637768111938,544.7145656643536,0.13300742917772634,,,,0.85,31.09298159637,10.197988744303597,0.0023429952509625984,350.615164713819,114.2582551037538,0.002195026927507504
ga,kh03_occ_ga_rate,kh03_avail_ga_avg_beds,ae_type1_pct_4hr,ae_type1_pct_4hr,3551,-0.08602544764080743,0.09649610599975345,0.37272904664843254,-0.7785456710952284,0.6157175878178608,0.20615479953349336,0.5197851328868323,0.6797194584126189,0.4445003653544899,,,,,,,
ga,kh03_occ_ga_rate,kh03_avail_ga_avg_beds,ae_waits_12hr_dta,ae_waits_12hr_decision_to_admit,3974,851.3173939325222,540.6051015782306,0.11539790195085597,-5432.894778466424,2991.376337831119,0.06942093215682399,13038.952361946775,4281.280989773626,0.002338361588744675,,,,,,,
ga,kh03_occ_ga_rate,kh03_avail_ga_avg_beds,canc_cancelled_ops,canc_cancelled_ops,2812,418.1496208664843,104.05354264828132,6.018465292467745e-05,65.9370907808314,620.8911087801183,0.91543372588527,3526.2309621348654,896.8986158638636,8.656234470905133e-05,,,,,,,
ga,kh03_occ_ga_rate,kh03_avail_ga_avg_beds,canc_breaches_28d,canc_breaches_28d,2812,69.09893906768795,40.16802286874299,0.08550483667464803,48.31230941183459,220.67693855339095,0.8267232648534291,558.8430051503773,329.3765226419855,0.08987727873916374,,,,,,,
ga,kh03_occ_ga_rate,kh03_avail_ga_avg_beds,canc_pct_not_treated_28d,canc_pct_not_treated_28_days,2812,0.050730519728679625,0.1207252967613901,0.6743630159318739,1.8444161589669839,0.5942568862134557,0.0019312153625350437,-1.7915782135654537,0.8703184203444309,0.03963717747874074,,,,,,,
ga,kh03_occ_ga_rate,kh03_avail_ga_avg_beds,uec_nctr_mean,uec_uec_nctr_mean,1434,144.01747067860205,48.835110050401234,0.003244489258670935,-349.29816699283657,156.00814466049437,0.02532636695822066,2032.7866301292797,476.3159268485221,2.1181019072669116e-05,,,,,,,
ga,kh03_occ_ga_rate,kh03_avail_ga_avg_beds,uec_nctr_max,uec_uec_nctr_max,1434,118.5002266489222,79.48424185987737,0.13623987743742538,-551.7273227779405,322.5193695436877,0.0873790269174266,2427.671572224265,629.6461442697827,0.00012108925765907941,,,,,,,
ga,kh03_occ_ga_rate,kh03_avail_ga_avg_beds,ae_type1_pct_4hr,ae_type1_pct_4hr,3551,,,,-0.5493063181533373,0.3369204302080154,0.10311561658899726,,,,0.85,0.012299404220261113,0.01653940588039945,0.4571444907889086,0.3479363346463565,0.22325732272878485,0.11921918650432395
ga,kh03_occ_ga_rate,kh03_avail_ga_avg_beds,ae_waits_12hr_dta,ae_waits_12hr_decision_to_admit,4195,,,,4348.172451005563,2483.0052037615815,0.07999274316866911,,,,0.85,75.44255887332041,71.79936549566457,0.29344092735221716,1798.2075357356875,782.7011649655439,0.021645205033257398
ga,kh03_occ_ga_rate,kh03_avail_ga_avg_beds,canc_cancelled_ops,canc_cancelled_ops,2857,,,,2611.53104909457,806.5869108089744,0.00121945430924697,,,,0.85,11.70682072940116,22.743494121336973,0.6067822954812083,223.18117628435456,338.86721027876916,0.5102031767055522
