bed_base,outcome,model,occ_col,cap_col,y_col,nobs,dropped_regressors,coef_occ_z,se_occ_z,p_occ_z,coef_occ_x_cap_z,se_occ_x_cap_z,p_occ_x_cap_z,coef_occ_x_nearest_trust_km_z,se_occ_x_nearest_trust_km_z,p_occ_x_nearest_trust_km_z,coef_occ_x_trusts_within_10km_z,se_occ_x_trusts_within_10km_z,p_occ_x_trusts_within_10km_z,coef_occ_x_trusts_within_25km_z,se_occ_x_trusts_within_25km_z,p_occ_x_trusts_within_25km_z
all,ae_12h_per_1k_att,linear_interactions,kh03_occ_all_rate,kh03_avail_all_avg_beds,ae_12h_per_1k_att,3551,,-0.6027037634556737,0.743824262889668,0.41783799660901977,29.865742441298913,6.150857462632253,1.2550349448581244e-06,1.6271246701895306,0.4022633391153589,5.351011221299551e-05,-4.282831739107892,0.6417005590871984,2.8941515850533506e-11,4.161681008190423,0.719360647415501,7.90020937557756e-09
all,ae_4hr_pct,linear_interactions,kh03_occ_all_rate,kh03_avail_all_avg_beds,ae_type1_pct_4hr,3551,,-0.014798946855554532,0.007924519053144848,0.061919937185573426,-0.12357560195392049,0.09346444207329176,0.18620203503256594,0.0013081276868089793,0.003789648101027071,0.7299771754152424,0.03891195560398067,0.007154193403162109,5.737599306776531e-08,-0.017407589959643047,0.005232150794791158,0.0008871168049204847
all,canc_pct28,linear_interactions,kh03_occ_all_rate,kh03_avail_all_avg_beds,canc_pct_not_treated_28_days,2852,,0.005374804772589493,0.011172317575553252,0.6304973787461061,-0.14316343785194932,0.09032510672437925,0.11308938199124152,0.013765094227135333,0.009268364188469196,0.1376168670441884,0.022682671540934486,0.014074416630447303,0.10716187245561137,-0.03270999081599682,0.018333080826336823,0.07450369718232341
ga,ae_12h_per_1k_att,linear_interactions,kh03_occ_ga_rate,kh03_avail_ga_avg_beds,ae_12h_per_1k_att,3551,,-1.4687281602955262,0.6885914799927267,0.033001056639358595,24.42653238878447,4.752934616500732,2.9148173252835363e-07,1.759448132083111,0.39162282151931416,7.2677826719047545e-06,-3.3879193979162525,0.6055084270297364,2.3796382864205157e-08,3.4877885768922687,0.6707336543292898,2.1117800730330316e-07
ga,ae_4hr_pct,linear_interactions,kh03_occ_ga_rate,kh03_avail_ga_avg_beds,ae_type1_pct_4hr,3551,,-0.01590889733966315,0.0056955958845513474,0.005248446743169488,-0.08177325144262203,0.06337277226260177,0.19701638772817232,-0.0009071942875357492,0.0035308795406171975,0.7972472719334744,0.03340511158422068,0.0064670552158282895,2.537747065822771e-07,-0.017493060987168924,0.0048662950044681946,0.0003293562716017995
ga,canc_pct28,linear_interactions,kh03_occ_ga_rate,kh03_avail_ga_avg_beds,canc_pct_not_treated_28_days,2812,,-0.006260221642947439,0.010487363818746147,0.5506054486380165,-0.19175573716124125,0.06580776651575804,0.003599782297322607,0.015869649170711667,0.009459395801130595,0.09353214847851099,0.042013240929329704,0.015019560064416146,0.005191643249337741,-0.04404642885238138,0.01875880538361434,0.01894607994311981
acute_proxy,ae_12h_per_1k_att,linear_interactions,kh03_occ_acute_rate,kh03_avail_acute_avg_beds,ae_12h_per_1k_att,3551,,-1.2254387131195117,0.6748637390976691,0.06948484155152346,24.597374303232787,4.918609133539894,5.997590577511147e-07,1.5661884260112262,0.3838598822316996,4.605566283921725e-05,-4.047372994957527,0.6096899999352127,3.679767601738604e-11,3.9263031691067494,0.6818546498440476,9.257858479827519e-09
acute_proxy,ae_4hr_pct,linear_interactions,kh03_occ_acute_rate,kh03_avail_acute_avg_beds,ae_type1_pct_4hr,3551,,-0.010565258506204421,0.006335373330640535,0.09547559422733443,-0.10132262420919312,0.07383187766002874,0.17004792550928371,0.0010414102663305902,0.0036427796487643743,0.7749849449972819,0.037115374474913636,0.006740597977807268,3.939432002830756e-08,-0.017200688917196685,0.004975372638178569,0.0005526257972263693
acute_proxy,canc_pct28,linear_interactions,kh03_occ_acute_rate,kh03_avail_acute_avg_beds,canc_pct_not_treated_28_days,2812,,0.003972792265433033,0.010152385424742184,0.695595222485319,-0.18575608465615243,0.07541170945972554,0.013832821955496621,0.01712657428950524,0.008995514831611134,0.0570318865011723,0.029467295210180676,0.014549725261202729,0.04293908945877267,-0.030219108564884578,0.01824351206146404,0.097753787991673
adult_ga_proxy,ae_12h_per_1k_att,linear_interactions,kh03_occ_adult_ga_rate,kh03_avail_ga_avg_beds,ae_12h_per_1k_att,3551,,-1.4687281602955262,0.6885914799927267,0.033001056639358595,24.42653238878447,4.752934616500732,2.9148173252835363e-07,1.759448132083111,0.39162282151931416,7.2677826719047545e-06,-3.3879193979162525,0.6055084270297364,2.3796382864205157e-08,3.4877885768922687,0.6707336543292898,2.1117800730330316e-07
adult_ga_proxy,ae_4hr_pct,linear_interactions,kh03_occ_adult_ga_rate,kh03_avail_ga_avg_beds,ae_type1_pct_4hr,3551,,-0.01590889733966315,0.0056955958845513474,0.005248446743169488,-0.08177325144262203,0.06337277226260177,0.19701638772817232,-0.0009071942875357492,0.0035308795406171975,0.7972472719334744,0.03340511158422068,0.0064670552158282895,2.537747065822771e-07,-0.017493060987168924,0.0048662950044681946,0.0003293562716017995
adult_ga_proxy,canc_pct28,linear_interactions,kh03_occ_adult_ga_rate,kh03_avail_ga_avg_beds,canc_pct_not_treated_28_days,2812,,-0.006260221642947439,0.010487363818746147,0.5506054486380165,-0.19175573716124125,0.06580776651575804,0.003599782297322607,0.015869649170711667,0.009459395801130595,0.09353214847851099,0.042013240929329704,0.015019560064416146,0.005191643249337741,-0.04404642885238138,0.01875880538361434,0.01894607994311981
