bed_measure,outcome,occ_col,cap_col,y_col,nobs,r_squared,dropped_regressors,coef_occ_z,se_occ_z,p_occ_z,coef_occ_x_cap_z,se_occ_x_cap_z,p_occ_x_cap_z,coef_occ_x_nearest_trust_km_z,se_occ_x_nearest_trust_km_z,p_occ_x_nearest_trust_km_z,coef_occ_x_trusts_within_10km_z,se_occ_x_trusts_within_10km_z,p_occ_x_trusts_within_10km_z,coef_occ_x_trusts_within_25km_z,se_occ_x_trusts_within_25km_z,p_occ_x_trusts_within_25km_z
all,ae_4hr_pct,kh03_occ_all_rate,kh03_avail_all_avg_beds,ae_type1_pct_4hr,3551,0.017402146452355938,,-0.014798946855554518,0.007924519053144863,0.06191993718557409,-0.12357560195392042,0.09346444207329174,0.18620203503256616,0.0013081276868089715,0.003789648101027067,0.729977175415244,0.0389119556039807,0.007154193403162068,5.737599306776531e-08,-0.017407589959643064,0.00523215079479111,0.0008871168049204847
all,ae_12h_per_1k,kh03_occ_all_rate,kh03_avail_all_avg_beds,ae_12h_per_1k_att,3551,0.014349094868990386,,-0.6027037634556739,0.7438242628896706,0.41783799660902154,29.86574244129891,6.1508574626322385,1.2550349448581244e-06,1.6271246701895317,0.4022633391153593,5.351011221299551e-05,-4.282831739107895,0.6417005590871934,2.8941515850533506e-11,4.161681008190423,0.719360647415496,7.90020937557756e-09
all,canc_pct28,kh03_occ_all_rate,kh03_avail_all_avg_beds,canc_pct_not_treated_28_days,2852,0.004762344720671052,,0.00537480477258951,0.011172317575553287,0.6304973787461057,-0.14316343785194952,0.09032510672437923,0.11308938199124108,0.01376509422713533,0.009268364188469215,0.1376168670441893,0.022682671540934472,0.014074416630447452,0.10716187245561537,-0.03270999081599682,0.018333080826337014,0.07450369718232652
all,canc_per_100,kh03_occ_all_rate,kh03_avail_all_avg_beds,canc_per_100_beds,2852,0.18778493702604104,,1381.1401377747093,309.19140021948573,8.264448153605386e-06,16674.82705776855,4417.800119122824,0.0001638420404612706,-258.40230538706203,114.29634612212419,0.02385118623008764,-1805.2710082246485,485.6138296250884,0.0002053350238926388,512.5943856123932,232.61555727549774,0.027636704996507833
ga,ae_4hr_pct,kh03_occ_ga_rate,kh03_avail_ga_avg_beds,ae_type1_pct_4hr,3551,0.013782825869425808,,-0.015908897339663143,0.005695595884551345,0.005248446743169488,-0.081773251442622,0.06337277226260184,0.19701638772817298,-0.0009071942875357442,0.003530879540617189,0.7972472719334749,0.0334051115842207,0.00646705521582843,2.537747065822771e-07,-0.01749306098716891,0.004866295004468414,0.0003293562716017995
ga,ae_12h_per_1k,kh03_occ_ga_rate,kh03_avail_ga_avg_beds,ae_12h_per_1k_att,3551,0.014620451198180118,,-1.4687281602955247,0.6885914799927264,0.03300105663935882,24.42653238878446,4.7529346165007285,2.9148173252835363e-07,1.7594481320831132,0.39162282151931443,7.2677826719047545e-06,-3.3879193979162543,0.6055084270297336,2.3796382864205157e-08,3.4877885768922705,0.6707336543292871,2.1117800730330316e-07
ga,canc_pct28,kh03_occ_ga_rate,kh03_avail_ga_avg_beds,canc_pct_not_treated_28_days,2812,0.006365282090267876,,-0.006260221642947418,0.010487363818746138,0.5506054486380179,-0.19175573716124103,0.06580776651575804,0.003599782297322829,0.01586964917071168,0.009459395801130598,0.09353214847851099,0.04201324092932968,0.01501956006441636,0.005191643249338407,-0.044046428852381345,0.0187588053836146,0.018946079943121585
ga,canc_per_100,kh03_occ_ga_rate,kh03_avail_ga_avg_beds,canc_per_100_beds,2812,0.3963296398205194,,2269.7615913729874,414.509668333142,4.767543337891311e-08,34487.954840023696,6349.520005083011,6.096296378821364e-08,-709.6864552896483,221.62841252439486,0.0013803326696173457,-4487.270827581255,798.2496561976423,2.093336304298532e-08,1502.8993520621784,378.22512025490283,7.270797115710437e-05
