bed_base,occ_col,outcome,y_col,knots,nobs,coef_occ,se_occ,p_occ,coef_occ_gt_80,se_occ_gt_80,p_occ_gt_80,coef_occ_gt_85,se_occ_gt_85,p_occ_gt_85,coef_occ_gt_90,se_occ_gt_90,p_occ_gt_90
all,kh03_occ_all_rate,ae_type1_pct_4hr,ae_type1_pct_4hr,"0.8,0.85,0.9",3551,-0.1275238987697893,0.13973244982703578,0.36150273707037117,0.5102358968473578,0.2701424787785498,0.0590087497431373,-0.7303223318344696,0.4207482413195164,0.08269557679245065,0.512840120064303,0.38258890856421185,0.18019018259812292
all,kh03_occ_all_rate,ae_waits_12hr_dta,ae_waits_12hr_decision_to_admit,"0.8,0.85,0.9",4151,-107.84978422740082,266.8796425141674,0.6861507836381762,-1570.4095565200596,1083.339398711903,0.1472491870422492,1625.0146903185712,1858.4769701948792,0.3819645546292645,2267.790528977828,2524.8320352302435,0.3691364812174429
all,kh03_occ_all_rate,canc_cancelled_ops,canc_cancelled_ops,"0.8,0.85,0.9",2852,101.50901686828222,58.42966424731696,0.0824519922406386,-715.1116233071328,288.67743137140525,0.013303205844612753,931.1245993754459,535.1443341581579,0.0819828636385469,-173.06275908203892,488.2452518581569,0.7230231486535796
all,kh03_occ_all_rate,canc_breaches_28d,canc_breaches_28d,"0.8,0.85,0.9",2852,53.735317803202065,20.925620223904456,0.010284986023662457,-190.4978286881166,146.06432276740165,0.1922760083110402,47.011715699342005,198.297944273176,0.8126158788119802,192.30381755261848,186.43879897052415,0.30241937775243977
all,kh03_occ_all_rate,canc_pct_not_treated_28d,canc_pct_not_treated_28_days,"0.8,0.85,0.9",2852,0.17387362711092558,0.12926218870739486,0.17869945648474217,-0.14738277292786164,0.7770261190128745,0.8495778724670164,-0.18920550209693635,0.9899158563788277,0.8484359828238719,0.5679120605219188,0.6675094250974516,0.39496082269206045
all,kh03_occ_all_rate,uec_nctr_mean,uec_uec_nctr_mean,"0.8,0.85,0.9",1434,-35.338329694707134,32.9724951402997,0.2840307743858421,-42.588789523227994,121.87898855451442,0.7268194112830426,125.56611995328808,142.27149597172942,0.3776261132847234,-89.47152450344656,157.93070749526643,0.5711356130017717
all,kh03_occ_all_rate,uec_nctr_max,uec_uec_nctr_max,"0.8,0.85,0.9",1434,-59.22949077957853,68.78950324614654,0.3893832238091801,35.71666780635315,260.958145655198,0.8911568178604912,92.85074627156501,345.7392598093608,0.7883131751272792,-342.57048146642546,392.33398312178645,0.38273717947523234
ga,kh03_occ_ga_rate,ae_type1_pct_4hr,ae_type1_pct_4hr,"0.8,0.85,0.9",3551,-0.13159205771919358,0.10595694588850617,0.21434525688551864,-0.005224987113034795,0.30118252027009446,0.986159824114549,0.25967816247315634,0.4332409181416539,0.5489562664453578,-0.22898278929643545,0.4007036378057236,0.5677314639077711
ga,kh03_occ_ga_rate,ae_waits_12hr_dta,ae_waits_12hr_decision_to_admit,"0.8,0.85,0.9",3974,-370.95947660707793,363.54818799632955,0.3076106339879239,-662.4859442456677,1187.6433078977964,0.5770033012682618,47.76723590926027,2057.6791509053523,0.981480689111853,2222.8886839867932,1893.975657639019,0.24060396161490183
ga,kh03_occ_ga_rate,canc_cancelled_ops,canc_cancelled_ops,"0.8,0.85,0.9",2812,179.64668302297076,67.160390338284,0.007521577316724093,-747.4194580114207,420.19904377840953,0.07539976479978772,428.1221803876367,555.080900575621,0.44061079839576966,460.08541515527776,396.2319157008127,0.2456853355162103
