org_code,period,org_name,financial_year,fy_quarter,kh03_avail_all_avg_beds,kh03_occ_all_avg_beds,kh03_occ_all_rate,kh03_avail_ga_avg_beds,kh03_occ_ga_avg_beds,kh03_occ_ga_rate,kh03_avail_mat_avg_beds,kh03_occ_mat_avg_beds,kh03_avail_acute_avg_beds,kh03_occ_acute_avg_beds,kh03_occ_acute_rate,kh03_occ_adult_ga_rate,ae_type1_attendances,ae_waits_12hr_decision_to_admit,ae_type1_pct_4hr,canc_cancelled_ops,canc_breaches_28d,canc_pct_not_treated_28_days,uec_financial_year,uec_fy_quarter,uec_uec_nctr_mean,uec_uec_nctr_max,uec_uec_days
RR8,2018-19 Q1,LEEDS TEACHING HOSPITALS NHS TRUST,2018-19,Q1,20.9,18.3,0.875598086124402,1756.989010989011,1612.362637362637,0.9176851006342017,145.71428571428572,56.62637362637363,1902.7032967032967,1668.9890109890107,0.8771672461390964,0.9176851006342017,50566.0,0.0,0.8457066012735829,362.0,82.0,0.2265193370165746,,,,,
RRF,2018-19 Q1,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",2018-19,Q1,5.2,4.5,0.8653846153846153,448.1098901098901,388.956043956044,0.867992544999755,28.0,18.615384615384617,476.1098901098901,407.57142857142867,0.8560448691316994,0.867992544999755,21652.0,0.0,0.8681876962867173,203.0,15.0,0.0738916256157635,,,,,
RT2,2018-19 Q1,PENNINE CARE NHS FOUNDATION TRUST,2018-19,Q1,5.5,5.1,0.9272727272727272,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,
RTD,2018-19 Q1,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,2018-19,Q1,17.3,13.9,0.8034682080924855,1481.1868131868132,1222.6813186813188,0.8254740778110812,93.0,43.417582417582416,1574.1868131868132,1266.0989010989013,0.8042875791442993,0.8254740778110812,29954.0,0.0,0.9198103759097284,124.0,15.0,0.1209677419354838,,,,,
RTF,2018-19 Q1,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,2018-19,Q1,10.5,8.1,0.7714285714285714,877.4175824175824,695.4725274725274,0.7926357317302273,38.03296703296704,20.07692307692308,915.4505494505494,715.5494505494505,0.7816363767315679,0.7926357317302273,25925.0,0.0,0.9694889103182256,40.0,4.0,0.1,,,,,
RTR,2018-19 Q1,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,2018-19,Q1,10.0,8.8,0.8800000000000001,869.1758241758242,778.6483516483516,0.8958467665465579,43.0,21.692307692307693,912.1758241758242,800.3406593406594,0.8773973592906708,0.8958467665465579,33429.0,0.0,0.9606030691914206,122.0,20.0,0.1639344262295081,,,,,
RTV,2018-19 Q1,NORTH WEST BOROUGHS HEALTHCARE NHS FOUNDATION TRUST,2018-19,Q1,3.5,3.1,0.8857142857142858,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,
RTX,2018-19 Q1,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,2018-19,Q1,7.3,6.0,0.8219178082191781,627.6923076923077,530.3846153846154,0.8449754901960783,38.0,15.417582417582418,665.6923076923077,545.8021978021977,0.819901614447489,0.8449754901960783,23940.0,36.0,0.8639515455304928,77.0,0.0,0.0,,,,,
RV9,2018-19 Q1,HUMBER TEACHING NHS FOUNDATION TRUST,2018-19,Q1,2.2,1.8,0.8181818181818181,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,
RVW,2018-19 Q1,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,2018-19,Q1,6.7,5.7,0.8507462686567164,566.7582417582418,502.2087912087912,0.8861076102762966,46.0,13.076923076923077,612.7582417582418,515.2857142857142,0.8409282473413316,0.8861076102762966,10991.0,0.0,0.9167500682376488,36.0,0.0,0.0,,,,,
RVY,2018-19 Q1,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,2018-19,Q1,4.8,4.0,0.8333333333333334,399.0219780219781,350.61538461538464,0.8786868992867174,39.15384615384615,12.538461538461538,438.17582417582423,363.1538461538462,0.828785674875859,0.8786868992867174,20396.0,2.0,0.8320258874289077,11.0,0.0,0.0,,,,,
RW4,2018-19 Q1,MERSEY CARE NHS FOUNDATION TRUST,2018-19,Q1,8.1,7.3,0.9012345679012346,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,
RW5,2018-19 Q1,LANCASHIRE CARE NHS FOUNDATION TRUST,2018-19,Q1,5.7,5.2,0.9122807017543859,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
RW6,2018-19 Q1,PENNINE ACUTE HOSPITALS NHS TRUST,2018-19,Q1,13.3,11.2,0.8421052631578947,1079.2087912087911,945.1648351648352,0.8757942326490714,128.4945054945055,74.95604395604396,1207.7032967032967,1020.1208791208791,0.8446783923713159,0.8757942326490714,67849.0,4.0,0.8519064392990318,280.0,52.0,0.1857142857142857,,,,,
RWA,2018-19 Q1,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,2018-19,Q1,11.9,9.8,0.823529411764706,965.7142857142856,880.7252747252747,0.9119936276741012,113.0,14.802197802197805,1078.7142857142856,895.5274725274726,0.8301804142090199,0.9119936276741012,34611.0,0.0,0.8313253012048194,225.0,17.0,0.0755555555555555,,,,,
RWJ,2018-19 Q1,STOCKPORT NHS FOUNDATION TRUST,2018-19,Q1,7.4,6.3,0.8513513513513513,629.5384615384615,552.2967032967033,0.8773041474654378,40.40659340659341,22.31868131868132,669.945054945055,574.6153846153846,0.8577052407118839,0.8773041474654378,22085.0,7.0,0.8316957210776545,146.0,16.0,0.1095890410958904,,,,,
RWW,2018-19 Q1,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,2018-19,Q1,6.6,5.7,0.8636363636363638,562.8681318681319,501.61538461538464,0.8911774467503564,40.0,21.0989010989011,602.8681318681319,522.7142857142858,0.8670458066750516,0.8911774467503564,20151.0,0.0,0.8242767108332093,41.0,11.0,0.2682926829268293,,,,,
RWY,2018-19 Q1,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,2018-19,Q1,8.1,7.2,0.888888888888889,688.945054945055,621.2087912087912,0.9016811816122755,47.92307692307692,31.032967032967036,736.8681318681319,652.2417582417582,0.8851539780776975,0.9016811816122755,38207.0,1.0,0.9321852016646166,44.0,1.0,0.0227272727272727,,,,,
RX3,2018-19 Q1,"TEES, ESK AND WEAR VALLEYS NHS FOUNDATION TRUST",2018-19,Q1,9.5,8.5,0.8947368421052632,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
RX4,2018-19 Q1,"NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",2018-19,Q1,8.8,7.4,0.8409090909090908,49.0,44.62637362637363,0.9107423189055842,0.0,0.0,49.0,44.62637362637363,0.9107423189055842,0.9107423189055842,,,,,,,,,,,
RXA,2018-19 Q1,CHESHIRE AND WIRRAL PARTNERSHIP NHS FOUNDATION TRUST,2018-19,Q1,3.5,3.3,0.9428571428571428,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
RXE,2018-19 Q1,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST,2018-19,Q1,3.9,2.9,0.7435897435897436,62.0,48.62637362637363,0.7842963488124779,0.0,0.0,62.0,48.62637362637363,0.7842963488124779,0.7842963488124779,,,,,,,,,,,
RXF,2018-19 Q1,MID YORKSHIRE HOSPITALS NHS TRUST,2018-19,Q1,11.5,10.1,0.8782608695652173,983.8791208791208,880.0989010989011,0.8945193392380464,58.72527472527472,42.34065934065934,1042.6043956043954,922.4395604395605,0.884745512611065,0.8945193392380464,54152.0,1.0,0.8859875904860393,115.0,0.0,0.0,,,,,
